<s>	I	10000
<s>	The	9800
<s>	You	9600
<s>	This	9400
<s>	We	9200
<s>	It	9000
<any>	the	7200
<any>	I	7000
<any>	you	6800
<any>	to	6600
<any>	and	6400
i	think	10000
i	have	9800
i	am	9600
i	can	9400
i	will	9200
i	need	9000
i'm	going	10000
i'm	not	9700
i'm	sure	9400
i think	that	10000
i think	it	9800
i think	we	9400
i have	to	10000
i have	a	9600
i have	the	9300
i am	going	10000
i am	not	9800
i am	sure	9600
you	are	10000
you	can	9800
you	have	9600
you	should	9400
you	want	9200
you are	right	10000
you are	going	9700
you are	not	9400
we	can	10000
we	should	9800
we	need	9600
we	have	9400
we are	going	10000
we are	not	9700
they	are	10000
they	can	9700
they	have	9400
it	is	10000
it	was	9800
it	will	9600
it	looks	9300
it is	not	10000
it is	a	9700
it is	the	9400
this	is	10000
this	looks	9700
this	one	9400
this is	a	10000
this is	the	9700
that	is	10000
that	was	9700
that	would	9400
that is	a	10000
that is	the	9700
the	same	10000
the	first	9800
the	best	9600
the	other	9400
the	new	9200
a	little	10000
a	good	9800
a	new	9600
a	lot	9400
to	be	10000
to	get	9800
to	do	9600
to	make	9400
and	I	10000
and	the	9700
and	then	9400
for	me	10000
for	you	9700
for	the	9400
in	the	10000
in	a	9700
in	my	9400
on	the	10000
on	my	9700
on	your	9400
with	me	10000
with	you	9700
with	the	9400
how	are	10000
how	do	9800
how	can	9600
how are	you	10000
how do	you	10000
what	is	10000
what	are	9800
what	do	9600
what is	the	10000
what are	you	10000
where	are	10000
where	is	9800
where	did	9600
where are	you	10000
where is	the	10000
why	are	10000
why	do	9800
why	is	9600
can	you	10000
can	I	9700
can	we	9400
do	you	10000
do	I	9700
do	we	9400
are	you	10000
are	we	9700
is	the	10000
is	it	9700
not	sure	10000
not	the	9700
going	to	10000
want	to	10000
need	to	10000
have	to	10000
